PID	TTY	STAT	TIME	COMMAND
1214	?	S	00:00	/usr/bin/dbus-daemon--session--address=systemd:--nofork--nopidfile--systemd-activation--syslog-only
1216	?	S	00:00	/usr/lib/gnome-session/gnome-session-binary--autostart/usr/share/gdm/greeter/autostart
1225	?	S	02:31	/usr/bin/gnome-shell
1233	?	S	00:03	/usr/lib/upower/upowerd
1266	null	S	00:00	/usr/lib/gvfs/gvfsd-network--spawner:1.22/org/gtk/gvfs/exec_spaw/3
1303	null	S	00:00	/usr/lib/gvfs/gvfsd-dnssd--spawner:1.22/org/gtk/gvfs/exec_spaw/8
1333	?	S	00:00	/usr/bin/Xwayland:1024-rootless-terminate-accessx-core-listen4-listen5-displayfd6
1370	null	S	00:01	gedit/home/dm/Документы/otus/otus/HomeWork05
(Управление	процессами)/README.md			
1389	?	S	00:00	/usr/lib/at-spi2-core/at-spi-bus-launcher
1394	?	S	00:00	/usr/bin/dbus-daemon--config-file=/usr/share/defaults/at-spi2/accessibility.conf--nofork--print-address3
1396	?	S	00:00	/usr/lib/at-spi2-core/at-spi2-registryd--use-gnome-session
1412	?	S	00:00	/usr/bin/pulseaudio--daemonize=no
1424	?	S	00:01	/usr/lib/rtkit/rtkit-daemon
1485	?	S	00:00	ibus-daemon--xim--paneldisable
1488	?	S	00:00	/usr/lib/ibus/ibus-dconf
1491	?	S	00:00	/usr/lib/ibus/ibus-x11--kill-daemon
1496	?	S	00:00	/usr/lib/ibus/ibus-portal
1500	?	D	00:00	(kworker/u16:2)
1516	?	S	00:00	/usr/lib/x86_64-linux-gnu/boltd
1520	?	S	00:51	/usr/lib/packagekit/packagekitd
1530	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-xsettings
1535	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-a11y-settings
1538	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-clipboard
1541	?	S	00:28	/usr/lib/gnome-settings-daemon/gsd-color
1542	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-datetime
1543	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-housekeeping
1549	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-keyboard
1554	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-media-keys
1555	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-mouse
1556	?	S	00:01	/usr/lib/gnome-settings-daemon/gsd-power
1558	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-print-notifications
1562	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-rfkill
1563	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
1564	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-sharing
1576	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-smartcard
1578	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-sound
1580	?	S	00:00	/usr/lib/gnome-settings-daemon/gsd-wacom
1592	?	S	00:00	/usr/lib/dconf/dconf-service
1597	?	S	00:00	/usr/lib/ibus/ibus-engine-simple
1640	?	I	00:00	(kworker/0:1)
1641	?	I	00:00	(kworker/1:1)
1644	?	S	00:00	/usr/lib/colord/colord
1670	pts	S	00:00	/bin/bash./ps.sh
